MAXHEAP

Insertion : time taken 						Search  :  time taken			delete :  time taken

0 element---0.00024399999999999422				none----0.00015899999999999248		none---1.2999999999999123e-05


10 elements---0.0005840000000000012				-----6.20000000000065e-05		   ---2.2999999999995246e-05
	   ---0.0005769999999999942				-----6.399999999999462e-05		   ---2.4999999999997247e-05
	   ---0.0005892254369969457				-----6.356244452111462e-05		   ---2.4999854222397247e-05


100 elements---0.004447999999999994				-----7.100000000000162e-05		   ---3.400000000000625e-05
	    ---0.003892000000000006				-----5.4999999999999494e-05	           ---2.999999999998837e-05
	    ---0.004555237196822104				-----5.3566699251119423e-05	           ---2.9000000000001247e-05

1000 elements---0.030692000000000004				-----0.00018299999999998873		   ---4.899999999999349e-05
	     ---0.038945999999999995				-----0.00010100000000000386		   ---6.399999999999462e-05
	     ---0.03814400000000001				-----8.899999999999186e-05		   ---7.500000000000562e-05

10000 elements---0.411361					-----0.00031999999999998696		   ---6.799999999995698e-05
     	      ---0.389605					-----0.001601000000000019		   ---7.499999999999174e-05
	      ---0.411925					-----0.002798999999999996		   ---6.499999999998174e-05

50000 elements---1.958731					-----0.01277499999999998		   ---0.00012500000000015277
	      ---2.029485					-----0.012744999999999784		   ---0.00012799999999968392
	      ---1.992401					-----0.009622999999999937		   ---8.399999999997299e-05

100000 elements---3.787111					-----0.0030570000000000874		   ---0.0001180000000000625
	       ---4.074995					-----0.01267399999999963		   ---0.00010699999999985721
	       ---4.080554					-----0.012129999999999974		   ---0.00011399999999994748









