
MINHEAP:


Insertion : time taken 						Search  :  time taken			delete :  time taken


0 elements---0.00021457672119140625				-----9.5367431640625e-05		----9.999999999996123e-06


10 element---0.0009255409240722656				-----5.841255187988281e-05		----5.7000000000001494e-05
	  ---0.0005364418029785156				-----9.965896606445312e-05		----1.7999999999990246e-05
	  ---0.0006387233734130859				-----5.6743621826171875e-05		----1.8999999999991246e-05


100 element---0.0032656192779541016				-----5.459785461425781e-05		-----3.899999999999737e-05
	   ---0.0032694339752197266				-----5.602836608886719e-05		-----2.2999999999995246e-05
	   ---0.0035642227562197266				-----5.455552193886719e-05		-----2.7466621478922346e-05

1000 elements---0.03162026405334473				-----0.00020575523376464844		-----3.700000000000925e-05
	     ---0.04122495651245117				-----0.0002498626708984375		-----4.300000000000137e-05
	     ---0.039908409118652344				-----0.00024008750915527344		-----4.099999999999937e-05


10000 elements---0.40544962882995605				-----0.0015702247619628906		-----4.900000000002125e-05
	      ---0.3992767333984375				-----7.200241088867188e-05		-----4.900000000002125e-05
	      ---0.3989548683166504				-----8.034706115722656e-05		----- 5.8000000000002494e-05

100000 elements---4.0073769092559814				-----0.022428274154663086		----- 0.0001129999999998077
	       ---4.102834939956665				-----0.02305436134338379		----- 0.00011900000000064637
	       ---3.972869396209717				-----0.021788835525512695		-----0.00011999999999989797




	
		
		

